transaction_id,user_id,transaction_date,amount,merchant_category,location,time_of_day,multiple_transactions,high_risk_merchant,unusual_location,device_type,payment_method,is_fraud
TXN00000001,USER8270,2023-12-30 01:22:45,37805.44,Electronics,Uttarakhand,0,3,0,0,Mobile,UPI,0
TXN00000002,USER1860,2024-10-20 12:28:45,71805.54,Entertainment,Haryana,17,1,0,0,Mobile,Card,0
TXN00000003,USER6390,2024-04-25 07:59:45,14468.14,Travel,Madhya Pradesh,14,3,0,0,Mobile,UPI,0
TXN00000004,USER6191,2024-04-04 18:41:45,91378.41,Healthcare,Sikkim,10,0,0,0,Mobile,UPI,0
TXN00000005,USER6734,2024-09-08 01:01:45,87957.79,Bills,Manipur,17,3,0,0,Desktop,UPI,0
TXN00000006,USER7265,2024-02-28 01:44:45,15147.58,Shopping,West Bengal,23,2,0,0,Mobile,UPI,0
TXN00000007,USER1466,2024-08-14 02:44:45,93851.55,Education,Mizoram,9,4,0,0,Mobile,Wallet,0
TXN00000008,USER5426,2024-02-29 23:58:45,55822.25,Others,Uttarakhand,3,0,0,0,Tablet,UPI,0
TXN00000009,USER6578,2024-07-14 12:56:45,70194.8,Shopping,Kerala,13,2,0,0,Desktop,UPI,0
TXN00000010,USER9322,2024-07-15 13:17:45,84045.35,Electronics,Meghalaya,21,3,0,0,Mobile,UPI,0
TXN00000011,USER2685,2024-08-12 09:29:45,8448.64,Shopping,Tripura,17,0,0,0,Mobile,Card,0
TXN00000012,USER1769,2024-01-17 01:33:45,17011.51,Entertainment,Karnataka,0,3,0,0,Mobile,Card,0
TXN00000013,USER7949,2024-06-02 09:24:45,29110.05,Fashion,Odisha,6,4,0,0,Mobile,UPI,0
TXN00000014,USER3433,2024-08-17 02:42:45,47772.73,Entertainment,Delhi,3,4,0,0,Mobile,Wallet,0
TXN00000015,USER6311,2024-02-24 15:42:45,34670.85,Others,Madhya Pradesh,3,1,0,0,Desktop,Card,0
TXN00000016,USER6051,2024-09-22 15:02:45,50634.05,Electronics,Assam,17,2,0,0,Tablet,UPI,0
TXN00000017,USER7420,2024-06-28 07:40:45,18673.11,Shopping,Tripura,8,4,0,0,Desktop,UPI,0
TXN00000018,USER2184,2024-03-18 07:48:45,68247.2,Fashion,Bihar,1,2,0,0,Mobile,UPI,0
TXN00000019,USER5555,2024-10-29 15:30:45,5667.91,Electronics,Telangana,4,3,0,0,Mobile,Wallet,0
TXN00000020,USER4385,2024-01-01 21:18:45,36208.81,Entertainment,Manipur,5,2,0,0,Mobile,UPI,0
TXN00000021,USER7396,2024-12-07 01:50:45,17985.42,Healthcare,Maharashtra,2,0,0,0,Mobile,UPI,0
TXN00000022,USER9666,2024-09-24 16:51:45,73020.33,Electronics,West Bengal,18,1,1,0,Mobile,UPI,0
TXN00000023,USER3558,2024-08-26 00:26:45,88376.97,Others,Karnataka,21,2,0,0,Mobile,Card,0
TXN00000024,USER8849,2024-05-06 23:46:45,7970.74,Healthcare,West Bengal,20,2,0,0,Mobile,UPI,0
TXN00000025,USER3047,2024-03-28 01:24:45,78525.28,Food,Madhya Pradesh,4,4,0,0,Mobile,Card,0
TXN00000026,USER3747,2024-07-08 14:17:45,89582.66,Groceries,Punjab,20,0,0,0,Mobile,Wallet,0
TXN00000027,USER1189,2024-08-25 15:41:45,97399.62,Groceries,Nagaland,8,4,0,0,Tablet,Wallet,0
